,GeoType,Time,Geography,nitrogenDioxide,AvgNitrogenDioxide,nitricOxide,AvgNitricOxide,pm25,AvgPM25,AgeAdjustedAsthma,AvgAgeAdjustedAsthma
231,UHF42,2012,Upper West Side,27.08,28.51,36.84,38.54,10.46,10.997,3.0,2.133
232,UHF42,2013,Upper West Side,26.5,28.51,32.77,38.54,10.35,10.997,1.6,2.133
236,UHF42,2009,Washington Heights,28.5,24.813,32.92,26.64,11.55,10.307,2.6,3.967
237,UHF42,2012,Washington Heights,23.15,24.813,24.88,26.64,9.89,10.307,3.1,3.967
238,UHF42,2013,Washington Heights,22.79,24.813,22.12,26.64,9.48,10.307,6.2,3.967
242,UHF42,2009,West Queens,25.81,23.493,25.59,20.923,10.99,9.86,1.5,1.933
243,UHF42,2012,West Queens,22.78,23.493,19.65,20.923,9.46,9.86,2.4,1.933
244,UHF42,2013,West Queens,21.89,23.493,17.53,20.923,9.13,9.86,1.9,1.933
248,UHF42,2009,Williamsburg - Bushwick,27.13,24.427,26.37,21.04,11.36,10.14,7.3,6.833
249,UHF42,2012,Williamsburg - Bushwick,23.43,24.427,19.68,21.04,9.7,10.14,6.2,6.833
250,UHF42,2013,Williamsburg - Bushwick,22.72,24.427,17.07,21.04,9.36,10.14,7.0,6.833
254,UHF42,2009,Willowbrook,17.49,16.09,14.93,13.09,10.1,9.16,2.8,2.9
255,UHF42,2013,Willowbrook,14.69,16.09,11.25,13.09,8.22,9.16,3.0,2.9
